max_err,rmse,a6,a8,a9,a10,y,L,kappa,r21,s19,imput
0.015100000000000002,0.008620265790351024,0.0,0.0,8.0,1.0,14.0,80.0,0.0,1.0,0.3,1.0
0.015109999999999957,0.008914768150949577,0.0,0.0,8.0,0.5,14.0,60.0,0.0,0.0,0.0,0.0
0.015109999999999957,0.008634350223252329,0.0,0.0,8.0,1.0,14.0,80.0,0.0,0.0,0.3,1.0
0.015109999999999957,0.010254492496967858,0.0,1.0,6.0,1.0,16.0,60.0,0.3,0.0,0.3,0.0
0.015110000000000068,0.009433593129520336,0.0,2.0,6.0,0.5,16.0,60.0,0.3,1.0,0.0,0.0
0.015120000000000022,0.008657506145921388,0.0,1.0,8.0,0.5,14.0,60.0,0.0,1.0,0.3,1.0
0.015148999999999968,0.009533072688744617,0.0,0.0,6.0,0.5,16.0,100.0,0.0,1.0,0.3,0.0
0.015149999999999997,0.00865307781252599,0.0,0.0,8.0,1.0,14.0,80.0,0.0,1.0,0.0,1.0
0.015159000000000034,0.00955307660739022,0.0,0.0,6.0,0.5,16.0,100.0,0.0,0.0,0.3,0.0
0.015160000000000062,0.009465524504650961,0.0,2.0,6.0,0.5,16.0,60.0,0.3,0.0,0.0,0.0
0.015160000000000062,0.009483262803877544,0.0,2.0,6.0,0.5,16.0,60.0,0.3,1.0,0.3,0.0
0.015189000000000008,0.008631663763917875,0.0,1.0,6.0,0.0,14.0,80.0,0.0,0.0,0.3,0.0
0.015190000000000037,0.008767011657766123,0.0,2.0,6.0,0.0,16.0,80.0,0.0,1.0,0.0,0.0
0.015198999999999963,0.009548884600366202,0.0,0.0,6.0,0.5,16.0,100.0,0.0,0.0,0.0,0.0
0.015198999999999963,0.009535055831179137,0.0,0.0,6.0,0.5,16.0,100.0,0.0,1.0,0.0,0.0
0.015198999999999963,0.008624972875963761,0.0,1.0,6.0,0.0,14.0,80.0,0.0,1.0,0.3,0.0
0.015229999999999966,0.009501954266827883,0.0,2.0,6.0,0.5,16.0,60.0,0.3,0.0,0.3,0.0
0.015240000000000031,0.008780929593073744,0.0,2.0,6.0,0.0,16.0,80.0,0.0,1.0,0.3,0.0
0.01527999999999996,0.008767956394356272,0.0,2.0,6.0,0.0,16.0,80.0,0.0,0.0,0.0,0.0
0.015288999999999997,0.008691216430226367,0.0,1.0,6.0,0.0,14.0,80.0,0.0,0.0,0.0,0.0
0.015309000000000017,0.008688357007022739,0.0,1.0,6.0,0.0,14.0,80.0,0.0,1.0,0.0,0.0
0.015329999999999955,0.008772703122417494,0.0,2.0,6.0,0.0,16.0,80.0,0.0,0.0,0.3,0.0
0.015490000000000004,0.007281380572188006,0.0,1.0,8.0,0.0,14.0,80.0,0.0,1.0,0.3,0.0
0.015510000000000024,0.007310536186445784,0.0,1.0,8.0,0.0,14.0,80.0,0.0,0.0,0.0,0.0
0.015510000000000024,0.0073000288228756115,0.0,1.0,8.0,0.0,14.0,80.0,0.0,0.0,0.3,0.0
0.015530000000000044,0.0073048535412600386,0.0,1.0,8.0,0.0,14.0,80.0,0.0,1.0,0.0,0.0
