maxsc,rmse,b1,b7,bs,a6,a8,a9,a10,y,L,kap,e21,e4,s19,s20,e22,bn,p2,rwc
5.97333333333333,0.007283893042312727,dol,sqrt,dol,0.0,0.015,0.045,0.0,0.12,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.063600000000013,0.010018439669300147,dol,dol,dol,0.0,0.015,0.085,0.01,0.2,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.066666666666665,0.008925038607655872,dol,dol,dol,0.0,0.0,0.085,0.0,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.116666666666659,0.008328381333106056,dol,sqrt,dol,0.0,0.0,0.045,0.01,0.12,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.215599999999988,0.00918566589049762,dol,dol,dol,0.01,0.015,0.045,0.0,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.383333333333334,0.007746701333829473,dol,dol,dol,0.0,0.0,0.085,0.0,0.16,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4233333333333364,0.008736570820619701,dol,dol,dol,-0.01,0.0,0.085,0.03,0.16,0.0,0.0,0.0,0.0,0.0,1.0,-300.0,0.011,0.0,0.0
6.4233333333333364,0.008736570820619701,dol,dol,dol,-0.01,0.0,0.085,0.03,0.16,0.0,0.004,0.0,0.0,0.0,1.0,-300.0,0.011,0.0,0.0
6.4300000000000095,0.00869637826275335,dol,dol,dol,-0.01,0.0,0.085,0.03,0.16,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0
6.4300000000000095,0.00873725633263797,dol,dol,dol,-0.01,0.0,0.085,0.03,0.16,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.011,0.0,0.0
6.4300000000000095,0.00869637826275335,dol,dol,dol,-0.01,0.0,0.085,0.03,0.16,0.0,0.004,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0
6.4300000000000095,0.00873725633263797,dol,dol,dol,-0.01,0.0,0.085,0.03,0.16,0.0,0.004,0.0,0.0,0.0,0.0,-300.0,0.011,0.0,0.0
6.431600000000026,0.011743898592381825,dol,dol,dol,0.01,0.0,0.045,0.01,0.2,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.436666666666646,0.0087002618989954,dol,dol,dol,-0.01,0.0,0.085,0.03,0.16,0.0,0.0,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
6.436666666666646,0.0087002618989954,dol,dol,dol,-0.01,0.0,0.085,0.03,0.16,0.0,0.004,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
6.473333333333331,0.008667425398411973,dol,dol,dol,-0.01,0.0,0.085,0.03,0.16,0.003,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0
6.476666666666649,0.008665069087797057,dol,dol,dol,-0.01,0.0,0.085,0.03,0.16,0.003,0.004,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0
6.480000000000004,0.008663707148533786,dol,dol,dol,-0.01,0.0,0.085,0.03,0.16,0.003,0.0,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
6.480000000000004,0.008663707148533786,dol,dol,dol,-0.01,0.0,0.085,0.03,0.16,0.003,0.004,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
6.503333333333305,0.009741305414839693,dol,dol,dol,-0.01,0.015,0.14,0.03,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5099999999999785,0.011036953790016627,dol,dol,dol,-0.01,0.0,0.085,0.03,0.2,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
