ts,team_id,rank,score,team,org,finish_time
2026-07-04 21:09,54343087,49,0.922843,Geoparadise,"Xavier School of Management (XLRI), Jamshedpur",2026-07-04 12:50:34+05:30
2026-07-04 21:09,54636836,50,0.922829,pgdm25shreya_s,"Management Development Institute (MDI), Gurgaon",2026-07-04 04:14:41+05:30
2026-07-04 21:09,54546154,50,0.922829,MnM,"Management Development Institute (MDI), Gurgaon",2026-07-04 05:07:16+05:30
2026-07-04 21:09,54734410,51,0.922814,p25prathamg,"Indian Institute of Management (IIM), Indore",2026-07-04 18:51:24+05:30
2026-07-04 21:09,54678119,52,0.922186,RTC,"Indian Institute of Technology (IIT), Delhi",2026-07-04 14:25:05+05:30
2026-07-04 21:09,54159199,53,0.921957,AMex,"Indian Institute of Technology (IIT), Delhi",2026-07-02 03:49:45+05:30
2026-07-04 21:09,54075288,54,0.921943,NullHypothesis,"Indian Institute of Technology (IIT), Delhi",2026-07-02 03:28:50+05:30
2026-07-04 21:09,54701189,55,0.9219,abhishekku23,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 12:09:02+05:30
2026-07-04 21:09,54385196,55,0.9219,53,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 18:43:49+05:30
2026-07-04 21:09,54325593,56,0.921643,IIT_Kanpur Express,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 19:57:15+05:30
2026-07-04 21:09,54709074,57,0.921214,India One,"Indian Institute of Technology (IIT), Delhi",2026-07-04 18:03:22+05:30
2026-07-04 21:09,54714503,58,0.9211,Chole bhature,"Indian Institute of Technology (IIT), Roorkee",2026-07-04 07:17:12+05:30
2026-07-04 21:09,54093847,59,0.9209,North Star,"Management Development Institute (MDI), Gurgaon",2026-07-03 13:35:57+05:30
2026-07-04 21:09,54225636,60,0.920214,WakaWaka,"Indian Institute of Technology (IIT), Hyderabad",2026-07-04 13:38:17+05:30
2026-07-04 21:09,54697345,61,0.920057,simba,"Narsee Monjee Institute of Management Studies (NMIMS), Mumba",2026-07-04 20:53:47+05:30
2026-07-04 21:09,54682062,62,0.919714,pgp25.pragya,"SP Jain Institute of Management and Research (SPJIMR), Mumba",2026-07-04 12:01:46+05:30
2026-07-04 21:09,54576756,63,0.919643,Chuhiya,"Department of Management Studies (DoMS), Indian Institute of",2026-07-04 17:49:45+05:30
2026-07-04 21:09,54713978,64,0.919443,wushang clan,"Indian Institute of Technology (IIT), Ropar",2026-07-04 08:28:36+05:30
2026-07-04 21:09,54477095,65,0.919414,Randoms,"Indian Institute of Technology (IIT), Madras",2026-07-03 01:30:56+05:30
2026-07-04 21:09,54512572,66,0.919314,Aerocitysehlaadle,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 02:06:22+05:30
2026-07-04 21:09,54409447,67,0.919143,iamkrish.kukeja.24,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 20:55:19+05:30
2026-07-04 21:09,54657192,68,0.919,pgp25.manmeet,"SP Jain Institute of Management and Research (SPJIMR), Mumba",2026-07-04 13:32:07+05:30
2026-07-04 21:09,54150834,69,0.918971,OLTGrind,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 16:42:01+05:30
2026-07-04 21:09,54617890,70,0.918957,bruh,"Indian Institute of Technology (IIT), Bombay",2026-07-03 14:57:51+05:30
2026-07-04 21:09,54338827,71,0.9188,Triple Bottom Line,"SP Jain Institute of Management and Research (SPJIMR), Mumba",2026-07-04 12:14:24+05:30
2026-07-04 21:09,54412275,72,0.918743,noida,"Indian Institute of Technology (IIT), Delhi",2026-07-03 20:40:26+05:30
2026-07-04 21:09,54594145,73,0.918586,16*2=8,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 01:46:16+05:30
2026-07-04 21:09,54786256,74,0.918129,pppap0044,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 19:49:24+05:30
2026-07-04 21:09,54588068,75,0.918057,The Bluechip Advisor,"Indian Institute of Technology (IIT), Guwahati",2026-07-03 20:47:47+05:30
2026-07-04 21:09,54292606,76,0.917971,pgp41260,"Indian Institute of Management (IIM), Lucknow",2026-07-04 18:27:19+05:30
2026-07-04 21:09,54753707,77,0.917643,nimayagrawal11,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 19:59:33+05:30
2026-07-04 21:09,54698145,78,0.917443,suyash.bhadauria007,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 16:33:34+05:30
2026-07-04 21:09,54200301,79,0.917429,Fast & Curious,"SP Jain Institute of Management and Research (SPJIMR), Mumba",2026-07-03 22:49:29+05:30
2026-07-04 21:09,54689053,80,0.917386,Random ML,"Management Development Institute (MDI), Gurgaon",2026-07-03 21:32:30+05:30
2026-07-04 21:09,54393079,82,0.917114,h25007,Xavier School of Management (XLRI),2026-07-04 20:44:40+05:30
2026-07-04 21:09,54650327,83,0.916957,Rockstar,"SP Jain Institute of Management and Research (SPJIMR), Mumba",2026-07-04 14:13:14+05:30
2026-07-04 21:09,54493946,84,0.9166,Potato,"Indian Institute of Technology (IIT), Delhi",2026-07-01 21:53:31+05:30
2026-07-04 21:09,54082154,85,0.916543,MAK & Cheese,"Department of Management Studies (DMS), Indian Institute of ",2026-07-04 15:02:50+05:30
2026-07-04 21:09,54592343,86,0.916186,chugli!!!!,"Birla Institute of Technology & Science, Pilani Campus",2026-07-03 11:30:23+05:30
2026-07-04 21:09,54727081,87,0.916171,ras69208,"Indian Institute of Technology (IIT), Delhi",2026-07-04 18:20:02+05:30
2026-07-04 21:25,54806608,16,0.928586,nazar_is_real,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 21:08:49+05:30
2026-07-04 21:40,54753707,68,0.9191,nimayagrawal11,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 21:28:27+05:30
2026-07-04 21:55,54657192,12,0.929029,pgp25.manmeet,"SP Jain Institute of Management and Research (SPJIMR), Mumba",2026-07-04 21:34:38+05:30
