maxerr_scaled,rmse,maxerr,a6,a8,a9,a10,y,L,kap,s19,s20,rw,rf4,bn,p2,imp
3.683600000000009,0.006200806703790867,0.009209000000000023,0.0,0.02,0.085,0.0,0.2,1.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.683600000000009,0.006200806703790867,0.009209000000000023,0.0,0.02,0.085,0.0,0.2,1.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3.687599999999991,0.006193050412148055,0.009569999999999967,0.0,0.02,0.085,0.0,0.2,1.275,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0
3.687599999999991,0.006193050412148055,0.009569999999999967,0.0,0.02,0.085,0.0,0.2,1.275,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0
3.6966666666666814,0.006917504158132298,0.011090000000000044,0.0,0.02,0.085,0.0,0.2,1.025,0.0,0.0,0.0,0.0,0.0,0.0,-600.0,0
3.6966666666666814,0.006917504158132298,0.011090000000000044,0.0,0.02,0.085,0.0,0.2,1.025,0.0,0.0,0.0,0.0,0.0,0.0,-600.0,0
3.699600000000025,0.006536181527693584,0.009770000000000001,0.0,0.02,0.095,0.0,0.185,1.025,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0
3.699600000000025,0.006536181527693584,0.009770000000000001,0.0,0.02,0.095,0.0,0.185,1.025,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0
3.6999999999999993,0.006447059111345665,0.011099999999999999,0.0,0.02,0.095,0.0,0.185,1.025,0.0,0.0,0.0,0.0,0.0,0.0,-600.0,0
3.6999999999999993,0.006447059111345665,0.011099999999999999,0.0,0.02,0.095,0.0,0.185,1.025,0.0,0.0,0.0,0.0,0.0,0.0,-600.0,0
3.7033333333333545,0.0066821441502293525,0.011110000000000064,0.01,0.02,0.03,0.0,0.2,1.15,0.0,100.0,0.0,0.0,0.0,0.0,-600.0,0
3.7033333333333545,0.0066821441502293525,0.011110000000000064,0.01,0.02,0.03,0.0,0.2,1.15,0.0,100.0,0.0,0.0,0.0,0.0,-600.0,0
3.7199999999999824,0.006023588883467801,0.011159999999999948,0.0,0.02,0.095,0.0,0.185,1.15,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0
3.7199999999999824,0.006023588883467801,0.011159999999999948,0.0,0.02,0.095,0.0,0.185,1.15,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0
3.7396000000000207,0.006053103893106457,0.009580000000000033,0.0,0.0,0.085,0.01,0.185,1.025,0.0,100.0,150.0,0.0,0.0,0.0,-150.0,0
3.7396000000000207,0.006053103893106457,0.009580000000000033,0.0,0.0,0.085,0.01,0.185,1.025,0.0,100.0,150.0,0.0,0.0,0.0,-150.0,0
3.7533333333333307,0.005654837856666192,0.011259999999999992,0.0,0.0,0.085,0.01,0.185,1.15,0.0,100.0,150.0,0.0,0.0,0.0,0.0,0
3.7533333333333307,0.005654837856666192,0.011259999999999992,0.0,0.0,0.085,0.01,0.185,1.15,0.0,100.0,150.0,0.0,0.0,0.0,0.0,0
3.753333333333349,0.0058728873017672625,0.011260000000000048,0.0,0.02,0.085,0.0,0.185,1.025,0.0,0.0,150.0,0.0,0.0,0.0,-600.0,0
3.753333333333349,0.0058728873017672625,0.011260000000000048,0.0,0.02,0.085,0.0,0.185,1.025,0.0,0.0,150.0,0.0,0.0,0.0,-600.0,0
3.7566666666666673,0.00678438594617571,0.011270000000000002,0.0,0.02,0.085,0.0,0.185,0.85,0.075,0.0,0.0,0.0,0.0,0.0,-600.0,0
3.7933333333333152,0.0069477900616484135,0.011379999999999946,0.0,0.0,0.085,0.01,0.2,1.275,0.0,100.0,0.0,0.0,0.0,0.0,-600.0,0
3.7933333333333152,0.0069477900616484135,0.011379999999999946,0.0,0.0,0.085,0.01,0.2,1.275,0.0,100.0,0.0,0.0,0.0,0.0,-600.0,0
3.80999999999998,0.006977564793281689,0.01142999999999994,0.0,0.01,0.085,0.0,0.2,1.275,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0
3.80999999999998,0.006977564793281689,0.01142999999999994,0.0,0.01,0.085,0.0,0.2,1.275,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0
3.836666666666673,0.006704895895013056,0.01151000000000002,0.0,0.01,0.085,0.0,0.2,1.275,0.0,0.0,0.0,0.0,0.0,0.0,-600.0,0
3.836666666666673,0.006704895895013056,0.01151000000000002,0.0,0.01,0.085,0.0,0.2,1.275,0.0,0.0,0.0,0.0,0.0,0.0,-600.0,0
3.8399999999999914,0.006249299462962047,0.011519999999999975,0.01,0.02,0.02,0.0,0.2,1.275,0.0,100.0,150.0,0.0,0.0,0.0,-600.0,0
3.8399999999999914,0.006249299462962047,0.011519999999999975,0.01,0.02,0.02,0.0,0.2,1.275,0.0,100.0,150.0,0.0,0.0,0.0,-600.0,0
3.8700000000000028,0.006304561493841548,0.01161000000000001,0.0,0.02,0.085,0.0,0.185,1.15,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0
3.8700000000000028,0.006304561493841548,0.01161000000000001,0.0,0.02,0.085,0.0,0.185,1.15,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0
3.8700000000000028,0.006124867895778704,0.01161000000000001,0.0,0.0,0.085,0.0,0.17099999999999999,0.975,0.0,100.0,0.0,0.0,0.0,0.0,-600.0,0
